Version;n;known derivs;known_derivs_list;m rule;m;iterations;fct_evals;f_opt;x_opt
;;;;;;;;;
HD01_sum2_10d;[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.];;;;;;;;
;;;;;;;;;
Version;n;known derivs;known_derivs_list;m rule;m;iterations;fct_evals;f_opt;x_opt
;;;;;;;;;
SQP (mixed);10;5;[0, 1, 5, 7, 8];;;12;83;4,30E+09;"[ 1.02870208e-04 -7.19091297e-05  1.03685688e-04 -8.76409891e-05
  1.29895209e-04 -1.33813436e-04  1.39307612e-04 -1.51250194e-05
  3.43108033e-05  2.38028855e-05]"
SQP (mixed);10;7;[0, 2, 4, 5, 6, 8, 9];;;12;59;4,30E+09;"[ 1.02870208e-04 -7.19091297e-05  1.03685688e-04 -8.76409891e-05
  1.29895209e-04 -1.33813436e-04  1.39307612e-04 -1.51250194e-05
  3.43108033e-05  2.38028855e-05]"
SQP (mixed);10;7;[0, 1, 2, 3, 5, 6, 8];;;12;59;4,30E+08;"[ 1.02870208e-04 -7.19091297e-05  1.03685688e-04 -8.76409891e-05
  1.29895209e-04 -1.33813436e-04  1.39307612e-04 -1.51250194e-05
  3.43108033e-05  2.38028855e-05]"
SQP (mixed);10;7;[0, 1, 3, 4, 5, 6, 7];;;12;59;4,30E+08;"[ 1.02870208e-04 -7.19091297e-05  1.03685688e-04 -8.76409891e-05
  1.29895209e-04 -1.33813436e-04  1.39307612e-04 -1.51250194e-05
  3.43108033e-05  2.38028855e-05]"
SQP (mixed);10;10;[0, 1, 2, 3, 4, 5, 6, 7, 8, 9];;;12;23;4,30E+09;"[ 1.02870208e-04 -7.19091297e-05  1.03685688e-04 -8.76409891e-05
  1.29895209e-04 -1.33813436e-04  1.39307612e-04 -1.51250194e-05
  3.43108033e-05  2.38028855e-05]"
;;;;;;;;;
;;;;;;;;;
=====;=====;=====;=====;=====;=====;=====;;;
;;;;;;;;;
Version;n;known derivs;known_derivs_list;m rule;m;iterations;fct_evals;f_opt;x_opt
;;;;;;;;;
HD03_sphere_10d;[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.];;;;;;;;
;;;;;;;;;
Version;n;known derivs;known_derivs_list;m rule;m;iterations;fct_evals;f_opt;x_opt
;;;;;;;;;
BOBYQA;10;0;[];2n+1;21;27;42;2,40E-19;"[-8.40640640e-18 -4.13793901e-18  4.47126275e-18 -6.33718435e-18
  4.94550012e-19 -3.99804571e-18  3.22876867e-18  4.05454471e-18
  5.65843249e-18  4.10552963e-18]"
